GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
spring-boot-skeleton,com.nnk.springboot.controllers,LoginController,12,45,0,0,4,13,1,4,1,4
spring-boot-skeleton,com.nnk.springboot.controllers,HomeController,0,17,0,0,0,6,0,4,0,4
spring-boot-skeleton,com.nnk.springboot.controllers,UserController,38,139,2,2,4,34,4,8,2,8
spring-boot-skeleton,com.nnk.springboot.controllers,CurvePointController,14,110,2,2,4,28,2,8,0,8
spring-boot-skeleton,com.nnk.springboot.controllers,BidListController,14,110,2,2,4,27,2,8,0,8
spring-boot-skeleton,com.nnk.springboot.controllers,RatingController,14,110,2,2,4,27,2,8,0,8
spring-boot-skeleton,com.nnk.springboot.controllers,TradeController,14,110,2,2,4,27,2,8,0,8
spring-boot-skeleton,com.nnk.springboot.controllers,RuleNameController,14,110,2,2,4,27,2,8,0,8
spring-boot-skeleton,com.nnk.springboot.service.impl,TradeServiceImpl,3,127,1,7,1,29,1,10,0,7
spring-boot-skeleton,com.nnk.springboot.service.impl,CurvePointServiceImpl,3,127,1,7,1,29,1,10,0,7
spring-boot-skeleton,com.nnk.springboot.service.impl,UserServiceImpl,3,124,1,7,1,27,1,10,0,7
spring-boot-skeleton,com.nnk.springboot.service.impl,RuleNameServiceImpl,3,127,1,7,1,29,1,10,0,7
spring-boot-skeleton,com.nnk.springboot.service.impl,BidListServiceImpl,11,122,2,6,3,27,2,9,0,7
spring-boot-skeleton,com.nnk.springboot.service.impl,RatingServiceImpl,14,116,2,6,3,27,2,9,0,7
spring-boot-skeleton,com.nnk.springboot.service,MyUserDetailsService,0,95,1,5,0,16,1,6,0,4
spring-boot-skeleton,com.nnk.springboot.config,SpringSecurityConfig,0,124,0,0,0,16,0,5,0,5
spring-boot-skeleton,com.nnk.springboot,Application,5,3,0,0,2,1,1,1,1,1
spring-boot-skeleton,com.nnk.springboot.domain,Rating,36,234,25,21,0,13,20,19,0,16
spring-boot-skeleton,com.nnk.springboot.domain,RuleName,50,312,35,27,0,17,28,23,0,20
spring-boot-skeleton,com.nnk.springboot.domain,BidList,263,735,110,72,0,29,106,35,18,32
spring-boot-skeleton,com.nnk.springboot.domain,Trade,250,706,105,69,0,28,101,34,17,31
spring-boot-skeleton,com.nnk.springboot.domain,User,0,38,0,0,0,16,0,11,0,11
spring-boot-skeleton,com.nnk.springboot.domain,CurvePoint,55,258,30,24,0,12,26,19,2,16
